,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,10.0,109.0,0.41678205935991086,9023.0,10.8999891000109
1,0.0,0.0,6.0,10.0,3.0,-0.0,372.0,0.2999997000003
2,0.0,0.0,8.0,10.0,305.0,0.28654353658384746,39387.0,30.499969500030502
3,0.0,0.0,13.0,10.0,20.0,0.1985152433458726,2287.0,1.9999980000020001
4,0.0,1.0,0.0,10.0,355.0,0.214770245675493,27690.0,35.4999645000355
5,0.0,1.0,1.0,10.0,564.0,0.19195170121192198,18794.0,56.3999436000564
6,0.0,1.0,9.0,10.0,22.0,-0.0,1404.0,2.1999978000022002
7,0.0,1.0,13.0,10.0,18.0,-0.0,1972.0,1.7999982000018
8,0.0,2.0,0.0,10.0,266.0,0.06897448613556383,23245.0,26.599973400026602
9,0.0,2.0,6.0,10.0,5.0,-0.0,629.0,0.49999950000050003
10,0.0,2.0,7.0,10.0,312.0,0.11171402549567445,25251.0,31.1999688000312
11,0.0,2.0,12.0,10.0,99.0,0.2532784536131743,5625.0,9.8999901000099
12,0.0,3.0,4.0,10.0,27.0,-0.0,2622.0,2.6999973000027
13,0.0,3.0,7.0,10.0,309.0,0.06532496234296062,31580.0,30.8999691000309
14,0.0,3.0,8.0,10.0,324.0,0.20500411229789572,43599.0,32.399967600032404
15,0.0,3.0,13.0,10.0,25.0,0.3669249912727096,2532.0,2.4999975000025
16,0.0,4.0,1.0,10.0,348.0,0.09486781989636672,22366.0,34.7999652000348
17,0.0,4.0,7.0,10.0,569.0,0.18393335021701698,42599.0,56.8999431000569
18,0.0,4.0,13.0,10.0,35.0,0.12974069471942834,2547.0,3.4999965000035003
19,0.0,4.0,14.0,10.0,10.0,-0.0,906.0,0.9999990000010001
20,0.0,5.0,1.0,10.0,264.0,-0.0,15848.0,26.3999736000264
21,0.0,5.0,7.0,10.0,659.0,0.1706862746191472,47447.0,65.8999341000659
22,0.0,5.0,12.0,10.0,84.0,0.06458143637762753,3344.0,8.3999916000084
23,0.0,5.0,13.0,10.0,68.0,-0.0,5138.0,6.7999932000068
24,0.0,6.0,1.0,10.0,487.0,0.3277085320083275,21595.0,48.6999513000487
25,0.0,6.0,3.0,10.0,5.0,-0.0,562.0,0.49999950000050003
26,0.0,6.0,7.0,10.0,481.0,0.2035534947802739,43163.0,48.099951900048104
27,0.0,6.0,9.0,10.0,6.0,-0.0,921.0,0.5999994000006
28,0.0,7.0,0.0,10.0,303.0,0.2779636425173212,28240.0,30.2999697000303
29,0.0,7.0,3.0,10.0,0.0,,268.0,0.0
30,0.0,7.0,4.0,10.0,101.0,0.05554607526889177,7730.0,10.099989900010101
31,0.0,7.0,5.0,10.0,6.0,-0.0,1402.0,0.5999994000006
32,0.0,8.0,5.0,10.0,8.0,-0.0,627.0,0.7999992000008
33,0.0,8.0,8.0,10.0,389.0,0.12739685644230958,54662.0,38.8999611000389
34,0.0,8.0,10.0,10.0,180.0,0.10307628052594511,21854.0,17.999982000018
35,0.0,8.0,13.0,10.0,34.0,0.2984358127031066,2325.0,3.3999966000034
36,0.0,9.0,0.0,10.0,180.0,0.414109977077055,15018.0,17.999982000018
