,round,tube,tox,amount
0,0,0,0,0
1,0.0,0.0,1.0,9.332701616683924
2,0,0,2,700
3,0.0,0.0,3.0,259.749396530215
4,0,0,4,700
5,0,0,5,700
6,0,0,6,700
7,0,0,7,700
8,0.0,0.0,8.0,359.3558548027241
9,0,0,9,0
10,0,1,0,0
11,0,1,1,0
12,0,1,2,700
13,0.0,1.0,3.0,241.9834575337643
14,0,1,4,700
15,0,1,5,700
16,0,1,6,700
17,0,1,7,700
18,0.0,1.0,8.0,346.15960546464515
19,0,1,9,0
20,0,2,0,0
21,0.0,2.0,1.0,30.204042120467076
22,0,2,2,700
23,0.0,2.0,3.0,283.9942286889014
24,0,2,4,700
25,0,2,5,700
26,0,2,6,700
27,0,2,7,700
28,0.0,2.0,8.0,387.8556869090972
29,0,2,9,0
